2025-04-13 20:19:03,651 - websocket-server - INFO - Python version: 3.12.4 | packaged by Anaconda, Inc. | (main, Jun 18 2024, 10:07:17) [Clang 14.0.6 ]
2025-04-13 20:19:03,651 - websocket-server - INFO - Websockets version: 14.1
2025-04-13 20:19:03,651 - websocket-server - INFO - Starting WebSocket server for browser clients on port 9765
2025-04-13 20:19:03,658 - websocket-server - INFO - Server running at ws://localhost:9765
2025-04-13 20:19:03,658 - websocket-server - INFO - Press Ctrl+C to stop the server
2025-04-13 20:19:11,066 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52150)-4420901472
2025-04-13 20:19:11,066 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52150)-4420901472
2025-04-13 20:19:11,077 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52152)-4420902912
2025-04-13 20:19:11,077 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52152)-4420902912
2025-04-13 20:19:11,088 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52154)-4420904352
2025-04-13 20:19:11,088 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52154)-4420904352
2025-04-13 20:19:11,100 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52156)-4420905792
2025-04-13 20:19:11,100 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52156)-4420905792
2025-04-13 20:19:11,154 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52158)-4420907232
2025-04-13 20:19:11,154 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52158)-4420907232
2025-04-13 20:19:11,341 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52160)-4420908672
2025-04-13 20:19:11,342 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52160)-4420908672
2025-04-13 20:19:11,386 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52162)-4420910112
2025-04-13 20:19:11,386 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52162)-4420910112
2025-04-13 20:19:11,432 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52164)-4421075456
2025-04-13 20:19:11,432 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52164)-4421075456
2025-04-13 20:19:11,527 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52166)-4421076896
2025-04-13 20:19:11,527 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52166)-4421076896
2025-04-13 20:19:11,931 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52172)-4421078288
2025-04-13 20:19:11,931 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52172)-4421078288
2025-04-13 20:19:12,009 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52174)-4421079728
2025-04-13 20:19:12,009 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52174)-4421079728
2025-04-13 20:19:12,139 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52176)-4421081168
2025-04-13 20:19:12,139 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52176)-4421081168
2025-04-13 20:19:12,238 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52178)-4421082608
2025-04-13 20:19:12,238 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52178)-4421082608
